time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,-0.000011,0.000000,-0.002843
0.010000,0.000000,-0.000023,0.000004,-0.002870
0.015000,0.000000,-0.000040,0.000015,-0.002862
0.020000,0.000000,-0.000051,0.000035,-0.002821
0.025000,0.000000,-0.000068,0.000064,-0.002790
0.030000,0.000001,-0.000079,0.000098,-0.002764
0.035000,0.000001,-0.000096,0.000132,-0.002721
0.040000,0.000002,-0.000107,0.000160,-0.002697
0.045000,0.000003,-0.000123,0.000180,-0.002668
0.050000,0.000004,-0.000133,0.000191,-0.002656
0.055000,0.000005,-0.000149,0.000193,-0.002649
0.060000,0.000006,-0.000159,0.000188,-0.002645
0.065000,0.000007,-0.000175,0.000178,-0.002657
0.070000,0.000008,-0.000186,0.000168,-0.002667
0.075000,0.000009,-0.000202,0.000165,-0.002678
0.080000,0.000009,-0.000213,0.000173,-0.002673
0.085000,0.000010,-0.000229,0.000192,-0.002654
0.090000,0.000011,-0.000240,0.000222,-0.002622
0.095000,0.000013,-0.000256,0.000262,-0.002572
0.100000,0.000014,-0.000266,0.000308,-0.002527
0.105000,0.000016,0.003570,0.000359,0.106814
0.110000,0.000018,0.003998,0.000400,0.106858
0.115000,0.000020,0.004639,0.000389,0.106892
0.120000,0.000021,0.005067,0.000269,0.106850
0.125000,0.000022,0.005708,-0.000022,0.106608
0.130000,0.000020,0.006134,-0.000542,0.106284
0.135000,0.000015,0.006770,-0.001339,0.105479
0.140000,0.000005,0.007191,-0.002445,0.104700
0.145000,-0.000011,0.007816,-0.003883,0.103141
0.150000,-0.000036,0.008228,-0.005645,0.101842
0.155000,-0.000070,0.008834,-0.007742,0.099493
0.160000,-0.000116,0.009231,-0.010157,0.097688
0.165000,-0.000175,0.009811,-0.012841,0.094615
0.170000,-0.000247,0.010187,-0.015764,0.092355
0.175000,-0.000336,0.010734,-0.018897,0.088716
0.180000,-0.000440,0.011086,-0.022235,0.086084
0.185000,-0.000562,0.011595,-0.025723,0.081973
0.190000,-0.000701,0.011919,-0.029300,0.079087
0.195000,-0.000859,0.012384,-0.033041,0.074668
0.200000,-0.001035,0.012679,-0.036913,0.071569
0.205000,-0.001231,0.001539,-0.040739,0.019677
0.210000,-0.001446,0.001615,-0.044420,0.016695
0.215000,-0.001679,0.001706,-0.047981,0.012377
0.220000,-0.001929,0.001754,-0.051429,0.009557
0.225000,-0.002197,0.001803,-0.054784,0.005472
0.230000,-0.002480,0.001822,-0.058029,0.002835
0.235000,-0.002780,0.001831,-0.061158,-0.001026
0.240000,-0.003095,0.001825,-0.064107,-0.003501
0.245000,-0.003424,0.001797,-0.066895,-0.006954
0.250000,-0.003766,0.001767,-0.069502,-0.009024
0.255000,-0.004121,0.001707,-0.071929,-0.012061
0.260000,-0.004487,0.001658,-0.074189,-0.013880
0.265000,-0.004865,0.001570,-0.076277,-0.016509
0.270000,-0.005252,0.001501,-0.078189,-0.018131
0.275000,-0.005648,0.001388,-0.079952,-0.020354
0.280000,-0.006053,0.001305,-0.081541,-0.021692
0.285000,-0.006465,0.001171,-0.082985,-0.023519
0.290000,-0.006884,0.001076,-0.084292,-0.024619
0.295000,-0.007309,0.000925,-0.085475,-0.026115
0.300000,-0.007739,0.000820,-0.086534,-0.027028
0.305000,-0.008175,-0.010962,-0.087488,-0.063863
0.310000,-0.008615,-0.011221,-0.088324,-0.064549
0.314999,-0.009059,-0.011610,-0.089013,-0.065460
0.319999,-0.009505,-0.011874,-0.089534,-0.065897
0.324999,-0.009954,-0.012271,-0.089863,-0.066400
0.329999,-0.010404,-0.012535,-0.089977,-0.066678
0.334999,-0.010853,-0.012936,-0.089852,-0.066690
0.339999,-0.011302,-0.013202,-0.089470,-0.066839
0.344999,-0.011747,-0.013602,-0.088820,-0.066301
0.349999,-0.012189,-0.013867,-0.087901,-0.065802
0.354999,-0.012625,-0.014260,-0.086722,-0.064644
0.359999,-0.013054,-0.014518,-0.085269,-0.063685
0.364999,-0.013475,-0.014897,-0.083570,-0.061901
0.369999,-0.013888,-0.015139,-0.081637,-0.060324
0.374999,-0.014289,-0.015497,-0.079468,-0.057927
0.379999,-0.014680,-0.015726,-0.077062,-0.056101
0.384999,-0.015057,-0.016056,-0.074442,-0.053127
0.389999,-0.015421,-0.016268,-0.071665,-0.051039
0.394998,-0.015771,-0.016567,-0.068758,-0.047697
0.399998,-0.016105,-0.016747,-0.065772,-0.045101
0.404998,-0.016425,-0.011914,-0.062699,-0.000424
0.409998,-0.016729,-0.011917,-0.059547,0.002128
0.414998,-0.017017,-0.011897,-0.056341,0.005943
0.419998,-0.017289,-0.011875,-0.053102,0.008677
0.424998,-0.017545,-0.011815,-0.049876,0.012587
0.429998,-0.017785,-0.011761,-0.046713,0.015113
0.434998,-0.018009,-0.011663,-0.043650,0.018855
0.439998,-0.018219,-0.011584,-0.040716,0.021064
0.444998,-0.018414,-0.011451,-0.037921,0.024491
0.449998,-0.018595,-0.011354,-0.035250,0.026142
0.454998,-0.018764,-0.011191,-0.032740,0.029202
0.459998,-0.018921,-0.011072,-0.030419,0.031133
0.464998,-0.019066,-0.010880,-0.028275,0.033767
0.469997,-0.019202,-0.010729,-0.026305,0.036010
0.474997,-0.019328,-0.010508,-0.024493,0.038281
0.479997,-0.019445,-0.010345,-0.022847,0.039970
0.484997,-0.019555,-0.010101,-0.021355,0.041868
0.489997,-0.019658,-0.009938,-0.019993,0.042864
0.494997,-0.019754,-0.009678,-0.018765,0.044425
0.499997,-0.019844,-0.009494,-0.017682,0.045460
0.504997,-0.019930,-0.008340,-0.016699,0.065922
0.509997,-0.020010,-0.008077,-0.015815,0.066735
0.514997,-0.020087,-0.007675,-0.015036,0.067744
0.519997,-0.020160,-0.007404,-0.014375,0.068354
0.524997,-0.020231,-0.006992,-0.013857,0.069060
0.529997,-0.020299,-0.006716,-0.013483,0.069415
0.534997,-0.020365,-0.006298,-0.013257,0.069767
0.539997,-0.020431,-0.006019,-0.013181,0.069867
0.544997,-0.020497,-0.005600,-0.013255,0.069851
0.549996,-0.020564,-0.005321,-0.013479,0.069749
0.554996,-0.020633,-0.004903,-0.013854,0.069349
0.559996,-0.020704,-0.004626,-0.014379,0.068960
0.564996,-0.020777,-0.004213,-0.015047,0.068160
0.569996,-0.020855,-0.003941,-0.015852,0.067579
0.574996,-0.020937,-0.003538,-0.016798,0.066482
0.579996,-0.021024,-0.003273,-0.017892,0.065625
0.584996,-0.021117,-0.002882,-0.019119,0.064179
0.589996,-0.021217,-0.002625,-0.020486,0.063231
0.594996,-0.021324,-0.002249,-0.021975,0.061496
0.599996,-0.021438,-0.002001,-0.023565,0.060426
0.604996,-0.021561,0.008015,-0.025297,0.030150
0.609996,-0.021693,0.008130,-0.027141,0.028783
0.614996,-0.021835,0.008298,-0.029087,0.026531
0.619996,-0.021986,0.008406,-0.031089,0.024896
0.624996,-0.022148,0.008550,-0.033133,0.022489
0.629995,-0.022320,0.008634,-0.035185,0.021132
0.634995,-0.022502,0.008756,-0.037250,0.018722
0.639995,-0.022694,0.008828,-0.039310,0.017605
0.644995,-0.022897,0.008929,-0.041344,0.015255
0.649995,-0.023110,0.008986,-0.043351,0.013317
0.654995,-0.023332,0.009061,-0.045339,0.010964
0.659995,-0.023565,0.009102,-0.047267,0.009362
0.664995,-0.023807,0.009154,-0.049149,0.007111
0.669995,-0.024058,0.009186,-0.051005,0.005834
0.674995,-0.024319,0.009216,-0.052832,0.003635
0.679995,-0.024588,0.009250,-0.054616,0.002786
0.684995,-0.024867,0.009262,-0.056353,0.000664
0.689995,-0.025153,0.009243,-0.058044,-0.001179
0.694995,-0.025449,0.009232,-0.059683,-0.003200
0.699995,-0.025752,0.009241,-0.061264,-0.004114
0.704994,-0.026063,0.004933,-0.062867,-0.044815
0.709994,-0.026382,0.004753,-0.064492,-0.046269
0.714994,-0.026709,0.004472,-0.066073,-0.048284
0.719994,-0.027044,0.004277,-0.067570,-0.049568
0.724994,-0.027386,0.003976,-0.068949,-0.051385
0.729994,-0.027735,0.003769,-0.070195,-0.052509
0.734994,-0.028089,0.003451,-0.071286,-0.054005
0.739994,-0.028448,0.003235,-0.072209,-0.054799
0.744994,-0.028812,0.002904,-0.072954,-0.055848
0.749994,-0.029178,0.002680,-0.073519,-0.056397
0.754994,-0.029547,0.002340,-0.073902,-0.056996
0.759994,-0.029917,0.002113,-0.074105,-0.057207
0.764994,-0.030288,0.001769,-0.074130,-0.057355
0.769994,-0.030658,0.001543,-0.073982,-0.057198
0.774994,-0.031027,0.001200,-0.073668,-0.056914
0.779994,-0.031394,0.000974,-0.073201,-0.056551
0.784993,-0.031758,0.000636,-0.072588,-0.055892
0.789993,-0.032119,0.000409,-0.071840,-0.055432
0.794993,-0.032476,0.000079,-0.070986,-0.054470
0.799993,-0.032828,-0.000143,-0.070028,-0.053849
0.804993,-0.033175,0.009783,-0.068949,-0.006201
0.809993,-0.033516,0.009754,-0.067753,-0.005146
0.814993,-0.033851,0.009726,-0.066483,-0.003642
0.819993,-0.034180,0.009708,-0.065196,-0.002425
0.824993,-0.034502,0.009696,-0.063942,-0.000896
0.829993,-0.034818,0.009695,-0.062756,0.000013
0.834993,-0.035128,0.009698,-0.061667,0.001370
0.839993,-0.035434,0.009704,-0.060710,0.002201
0.844993,-0.035735,0.009719,-0.059909,0.003214
0.849993,-0.036033,0.009732,-0.059263,0.003766
0.854993,-0.036327,0.009756,-0.058775,0.004384
0.859993,-0.036620,0.009774,-0.058445,0.004696
0.864992,-0.036912,0.009803,-0.058257,0.004960
0.869992,-0.037203,0.009824,-0.058198,0.005074
0.874992,-0.037494,0.009854,-0.058256,0.005047
0.879992,-0.037786,0.009874,-0.058418,0.004907
0.884992,-0.038078,0.009903,-0.058675,0.004619
0.889992,-0.038373,0.009922,-0.059018,0.004420
0.894992,-0.038669,0.009948,-0.059437,0.003941
0.899992,-0.038968,0.009959,-0.059918,0.003356
0.904992,-0.039269,0.007970,-0.060457,0.003437
0.909992,-0.039573,0.007975,-0.061044,0.003093
0.914992,-0.039880,0.007992,-0.061680,0.002339
0.919992,-0.040191,0.008002,-0.062367,0.001758
0.924992,-0.040505,0.008011,-0.063100,0.000880
0.929992,-0.040822,0.008012,-0.063874,0.000345
0.934992,-0.041144,0.008012,-0.064703,-0.000631
0.939991,-0.041470,0.008011,-0.065579,-0.001795
0.944991,-0.041801,0.007998,-0.066492,-0.002944
0.949991,-0.042136,0.007986,-0.067442,-0.003674
0.954991,-0.042476,0.007961,-0.068413,-0.004894
0.959991,-0.042821,0.007949,-0.069390,-0.005108
0.964991,-0.043171,0.007916,-0.070375,-0.006282
0.969991,-0.043526,0.007890,-0.071352,-0.007097
0.974991,-0.043886,0.007845,-0.072301,-0.008244
0.979991,-0.044250,0.007807,-0.073223,-0.009129
0.984991,-0.044619,0.007750,-0.074121,-0.010230
0.989991,-0.044992,0.007719,-0.074985,-0.010633
0.994991,-0.045369,0.007653,-0.075822,-0.011640
0.999991,-0.045751,0.007584,-0.076616,-0.012830
1.004991,-0.046136,-0.006076,-0.077383,-0.056327
1.009991,-0.046525,-0.006305,-0.078118,-0.056886
1.014991,-0.046918,-0.006648,-0.078791,-0.057747
1.019992,-0.047314,-0.006870,-0.079368,-0.058544
1.024992,-0.047712,-0.007223,-0.079811,-0.059187
1.029992,-0.048112,-0.007458,-0.080088,-0.059567
1.034992,-0.048513,-0.007816,-0.080177,-0.059802
1.039993,-0.048913,-0.008053,-0.080051,-0.060079
1.044993,-0.049313,-0.008413,-0.079689,-0.059765
1.049993,-0.049709,-0.008652,-0.079092,-0.059273
1.054993,-0.050102,-0.009005,-0.078257,-0.058354
1.059994,-0.050491,-0.009239,-0.077196,-0.057580
1.064994,-0.050873,-0.009581,-0.075929,-0.056082
1.069994,-0.051248,-0.009802,-0.074472,-0.054842
1.074994,-0.051616,-0.010127,-0.072835,-0.052881
1.079994,-0.051975,-0.010339,-0.071049,-0.051435
1.084995,-0.052324,-0.010643,-0.069159,-0.049100
1.089995,-0.052664,-0.010836,-0.067166,-0.047494
1.094995,-0.052994,-0.011116,-0.065067,-0.044909
1.099995,-0.053313,-0.011293,-0.062905,-0.043165
1.104996,-0.053620,-0.012633,-0.060669,-0.067500
1.109996,-0.053917,-0.012916,-0.058361,-0.065405
1.114996,-0.054201,-0.013302,-0.055941,-0.062360
1.119996,-0.054474,-0.013547,-0.053427,-0.060311
1.124997,-0.054733,-0.013903,-0.050829,-0.057067
1.129997,-0.054979,-0.014130,-0.048151,-0.054772
1.134997,-0.055212,-0.014451,-0.045367,-0.051294
1.139997,-0.055430,-0.014653,-0.042505,-0.049238
1.144997,-0.055634,-0.014942,-0.039553,-0.045607
1.149998,-0.055822,-0.015124,-0.036492,-0.043403
1.154998,-0.055995,-0.015376,-0.033349,-0.039581
1.159998,-0.056152,-0.015537,-0.030134,-0.037293
1.164998,-0.056293,-0.015753,-0.026883,-0.033355
1.169999,-0.056418,-0.015887,-0.023584,-0.030899
1.174999,-0.056526,-0.016065,-0.020230,-0.026862
1.179999,-0.056617,-0.016173,-0.016882,-0.024320
1.184999,-0.056691,-0.016311,-0.013517,-0.020286
1.190000,-0.056749,-0.016419,-0.010155,-0.018560
1.195000,-0.056789,-0.016522,-0.006764,-0.014579
1.200000,-0.056813,-0.016579,-0.003377,-0.011940
1.205000,-0.056820,0.005414,-0.000015,0.078949
1.210001,-0.056810,0.005754,0.003297,0.081163
1.215001,-0.056784,0.006249,0.006451,0.084927
1.220001,-0.056743,0.006588,0.009334,0.087347
1.225001,-0.056688,0.007119,0.011915,0.090547
1.230001,-0.056622,0.007490,0.014145,0.092069
1.235002,-0.056545,0.008047,0.015994,0.094450
1.240002,-0.056461,0.008421,0.017427,0.096457
1.245002,-0.056371,0.009003,0.018402,0.097908
1.250002,-0.056277,0.009396,0.018893,0.098723
1.255003,-0.056182,0.009989,0.018911,0.099048
1.260003,-0.056089,0.010390,0.018472,0.099325
1.265003,-0.055999,0.010985,0.017600,0.098580
1.270003,-0.055915,0.011368,0.016305,0.097199
1.275004,-0.055838,0.011947,0.014627,0.095425
1.280004,-0.055771,0.012322,0.012600,0.093779
1.285004,-0.055715,0.012880,0.010255,0.091167
1.290004,-0.055671,0.013241,0.007625,0.089141
1.295004,-0.055642,0.013769,0.004742,0.085850
1.300005,-0.055627,0.014109,0.001641,0.083441
1.305005,-0.055629,0.011119,-0.001572,0.051892
1.310005,-0.055646,0.011319,-0.004889,0.049455
1.315005,-0.055681,0.011608,-0.008235,0.045510
1.320006,-0.055732,0.011789,-0.011626,0.042810
1.325006,-0.055801,0.012038,-0.015073,0.038736
1.330006,-0.055886,0.012192,-0.018541,0.035969
1.335006,-0.055990,0.012399,-0.022054,0.031821
1.340007,-0.056110,0.012525,-0.025562,0.029039
1.345007,-0.056249,0.012691,-0.029002,0.024993
1.350007,-0.056404,0.012788,-0.032432,0.022298
1.355007,-0.056576,0.012914,-0.035892,0.018250
1.360008,-0.056766,0.012983,-0.039312,0.015512
1.365008,-0.056973,0.013068,-0.042692,0.011509
1.370008,-0.057196,0.013109,-0.046101,0.008700
1.375008,-0.057437,0.013153,-0.049443,0.004704
1.380008,-0.057694,0.013167,-0.052705,0.002003
