time, Quad1.Est.S.Yaw, Quad1.Est.Yaw, Quad1.Yaw, Quad1.Ref.Yaw
0.005000,0.050000,0.000000,-0.000000,0.012560
0.010000,0.050000,0.000000,0.000000,0.025120
0.015000,0.050000,0.000000,-0.000003,0.043960
0.020000,0.050000,0.000000,-0.000011,0.056520
0.025000,0.050000,0.000000,-0.000008,0.075360
0.030000,0.050000,0.000000,0.000040,0.087920
0.035000,0.050000,0.000000,0.000158,0.106760
0.040000,0.050000,0.000000,0.000408,0.119320
0.045000,0.050000,0.000000,0.000882,0.138160
0.050000,0.050000,0.000000,0.001648,0.150720
0.055000,0.050000,0.000000,0.002745,0.169560
0.060000,0.050000,0.000000,0.004249,0.182120
0.065000,0.050000,0.000000,0.006216,0.200960
0.070000,0.050000,0.000000,0.008659,0.213520
0.075000,0.050000,0.000000,0.011545,0.232360
0.080000,0.050000,0.000000,0.014812,0.244920
0.085000,0.050000,0.000000,0.018388,0.263760
0.090000,0.050000,0.000000,0.022183,0.276320
0.095000,0.050000,0.000000,0.026168,0.295160
0.100000,0.050000,0.000000,0.030193,0.307720
0.105000,0.050000,0.000000,0.034071,0.326560
0.110000,0.050000,0.000000,0.037597,0.339120
0.115000,0.050000,0.000000,0.040506,0.357960
0.120000,0.050000,0.000000,0.042544,0.370520
0.125000,0.050000,0.000000,0.043558,0.389360
0.130000,0.050000,0.000000,0.043530,0.401920
0.135000,0.050000,0.000000,0.042596,0.420760
0.140000,0.050000,0.000000,0.041024,0.433320
0.145000,0.050000,0.000000,0.039143,0.452160
0.150000,0.050000,0.000000,0.037148,0.464720
0.155000,0.050000,0.000000,0.035191,0.483560
0.160000,0.050000,0.000000,0.033413,0.496120
0.165000,0.050000,0.000000,0.031945,0.514960
0.170000,0.050000,0.000000,0.030899,0.527521
0.175000,0.050000,0.000000,0.030339,0.546361
0.180000,0.050000,0.000000,0.030327,0.558921
0.185000,0.050000,0.000000,0.030885,0.577761
0.190000,0.050000,0.000000,0.032016,0.590321
0.195000,0.050000,0.000000,0.033717,0.609161
0.200000,0.050000,0.000000,0.035961,0.621721
0.205000,0.050000,0.000000,0.038711,0.640561
0.210000,0.050000,0.000000,0.041910,0.653121
0.215000,0.050000,0.000000,0.045488,0.671961
0.220000,0.050000,0.000000,0.049410,0.684521
0.225000,0.050000,0.000000,0.053621,0.703361
0.230000,0.050000,0.000000,0.058086,0.715921
0.235000,0.050000,0.000000,0.062776,0.734761
0.240000,0.050000,0.000000,0.067663,0.747321
0.245000,0.050000,0.000000,0.072730,0.766161
0.250000,0.050000,0.000000,0.077954,0.778721
0.255000,0.050000,0.000000,0.083319,0.797561
0.260000,0.050000,0.000000,0.088808,0.810121
0.265000,0.050000,0.000000,0.094406,0.828960
0.270000,0.050000,0.000000,0.100096,0.841520
0.275000,0.050000,0.000000,0.105863,0.860360
0.280000,0.050000,0.000000,0.111701,0.872920
0.285000,0.050000,0.000000,0.117605,0.891760
0.290000,0.050000,0.000000,0.123573,0.904320
0.295000,0.050000,0.000000,0.129600,0.923159
0.300000,0.050000,0.000000,0.135674,0.935719
0.305000,0.050000,0.000000,0.141790,0.954559
0.310000,0.050000,0.000000,0.147959,0.967119
0.314999,0.050000,0.000000,0.154186,0.985959
0.319999,0.050000,0.000000,0.160475,0.998518
0.324999,0.050000,0.000000,0.166820,1.017358
0.329999,0.050000,0.000000,0.173219,1.029918
0.334999,0.050000,0.000000,0.179672,1.048758
0.339999,0.050000,0.000000,0.186189,1.061317
0.344999,0.050000,0.000000,0.192776,1.080157
0.349999,0.050000,0.000000,0.199442,1.092717
0.354999,0.050000,0.000000,0.206188,1.111557
0.359999,0.050000,0.000000,0.213037,1.124117
0.364999,0.050000,0.000000,0.220026,1.142956
0.369999,0.050000,0.000000,0.227169,1.155516
0.374999,0.050000,0.000000,0.234475,1.174356
0.379999,0.050000,0.000000,0.241964,1.186916
0.384999,0.050000,0.000000,0.249635,1.205756
0.389999,0.050000,0.000000,0.257475,1.218315
0.394998,0.050000,0.000000,0.265448,1.237155
0.399998,0.050000,0.000000,0.273531,1.249715
0.404998,0.050000,0.000000,0.281723,1.268555
0.409998,0.050000,0.000000,0.290046,1.281115
0.414998,0.050000,0.000000,0.298505,1.299954
0.419998,0.050000,0.000000,0.307091,1.312514
0.424998,0.050000,0.000000,0.315805,1.331354
0.429998,0.050000,0.000000,0.324652,1.343914
0.434998,0.050000,0.000000,0.333641,1.362754
0.439998,0.050000,0.000000,0.342758,1.375314
0.444998,0.050000,0.000000,0.351995,1.394153
0.449998,0.050000,0.000000,0.361351,1.406713
0.454998,0.050000,0.000000,0.370828,1.425553
0.459998,0.050000,0.000000,0.380407,1.438113
0.464998,0.050000,0.000000,0.390079,1.456952
0.469997,0.050000,0.000000,0.399857,1.469512
0.474997,0.050000,0.000000,0.409755,1.488352
0.479997,0.050000,0.000000,0.419778,1.500912
0.484997,0.050000,0.000000,0.429929,1.519752
0.489997,0.050000,0.000000,0.440191,1.532311
0.494997,0.050000,0.000000,0.450552,1.551151
0.499997,0.050000,0.000000,0.461003,1.563711
0.504997,0.050000,0.000000,0.471545,1.582551
0.509997,0.050000,0.000000,0.482172,1.595111
0.514997,0.050000,0.000000,0.492868,1.613951
0.519997,0.050000,0.000000,0.503628,1.626510
